shift,z_dist,strain,gap
0.4,6.857142857142857,0.9930769230769231,"(0.9260316077815457, 1.3582493125432116, 0.4322177047616659)"
0.4,6.857142857142857,0.9946153846153846,"(0.9112398610799167, 1.3244762554626148, 0.4132363943826981)"
0.4,6.857142857142857,0.9961538461538462,"(0.8960407500719694, 1.2904974706875432, 0.3944567206155738)"
0.4,6.857142857142857,0.9976923076923077,"(0.882037501925124, 1.257362758600967, 0.37532525667584304)"
0.4,6.857142857142857,0.9992307692307693,"(0.8661993634637881, 1.223374023621728, 0.35717466015794)"
0.4,6.857142857142857,1.0007692307692309,"(0.8522272399810435, 1.190485368827312, 0.3382581288462685)"
0.4,6.857142857142857,1.0023076923076923,"(0.8336927638755398, 1.1578462108896108, 0.32415344701407106)"
0.4,6.857142857142857,1.0038461538461538,"(0.808402425989182, 1.124382560003357, 0.31598013401417496)"
0.4,6.857142857142857,1.0053846153846153,"(0.7832429309213883, 1.0913051192386969, 0.3080621883173086)"
0.4,6.857142857142857,1.006923076923077,"(0.7592303152251091, 1.0590618939834708, 0.29983157875836175)"
0.4,6.857142857142857,1.0084615384615385,"(0.7356154023603183, 1.0270622351452792, 0.2914468327849608)"
0.4,6.857142857142857,1.01,"(0.7118400394858823, 0.9949659952007058, 0.2831259557148236)"
0.4,6.928571428571429,0.99,"(0.9519585169844478, 1.4107266593220216, 0.45876814233757374)"
0.4,6.928571428571429,0.9915384615384615,"(0.9367005827264204, 1.3765722407740084, 0.439871658047588)"
0.4,6.928571428571429,0.9930769230769231,"(0.9201762850215236, 1.3418189908128217, 0.4216427057912981)"
0.4,6.928571428571429,0.9946153846153846,"(0.9078358457089106, 1.3097398005632523, 0.4019039548543417)"
0.4,6.928571428571429,0.9961538461538462,"(0.890814285741913, 1.27457544186864, 0.38376115612672684)"
0.4,6.928571428571429,0.9976923076923077,"(0.8755387758031825, 1.240892027176388, 0.36535325137320546)"
0.4,6.928571428571429,0.9992307692307693,"(0.8610066884907788, 1.20741124846296, 0.34640455997218117)"
0.4,6.928571428571429,1.0007692307692309,"(0.847217819298903, 1.1746916536643888, 0.32747383436548566)"
0.4,6.928571428571429,1.0023076923076923,"(0.8327256441137709, 1.1416387816169835, 0.30891313750321253)"
0.4,6.928571428571429,1.0038461538461538,"(0.817948221373408, 1.1084373749833123, 0.2904891536099043)"
